city,name,country,tier,synthetic,population,mean_everyday,mean_emergency,gini_everyday,gini_emergency,p90_p50_ratio_emergency,spearman_rho,compounding_intensity,divergence_gap,compounding_pop_share_50,jaccard_high_50,compounding_pop_share_75,jaccard_high_75,gini_t_everyday,gini_t_emergency,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30,pop_share_beyond_emergency_45,pop_share_beyond_emergency_60
madrid,Madrid,ES,1,False,7601393.680988651,0.1912813123146158,0.092849329362977,0.5329748990827761,0.4377049563538395,2.891451482120493,0.39572216271279,0.3746620586839101,-0.0952699427289365,0.3166463156984838,0.4643978551385221,0.127584902499466,0.3404625905297948,0.6319458962733444,0.2648623868924396,0.3396176507144433,0.132227790093969,0.0111052597801574,0.0005646070911076,0.0002047618166003
barcelona,Barcelona,ES,1,False,5945709.4630487785,0.1748864521252489,0.1251655089182743,0.5447227417171132,0.4178703656169805,3.017042973528759,0.3679579125028371,0.3727965776644579,-0.1268523761001326,0.3108093427723521,0.4523262668569739,0.1260096912430905,0.33744059895045,0.639778367513907,0.2475999201239861,0.3298862794282291,0.1121534012579587,0.0107890677678174,0.0009766597443804,0.0007598764892311
milano,Milano,IT,1,False,5030023.868854286,0.1827137160811655,0.090442741639065,0.4004031153211928,0.4000641902289726,2.799385829084361,0.3694636273663264,0.3738522117980899,-0.0003389250922201,0.317446557178122,0.4673003263758555,0.1264313055357538,0.3381206686628991,0.528000380002491,0.2505827315708331,0.3258758593004762,0.0918753684692944,0.0022970621667126,5.47780082072515e-05,3.40793771643497e-05
roma,Roma,IT,1,False,4432844.861252554,0.2876631186720097,0.1686828052922339,0.4236810356556205,0.5034165520180388,3.961769434254965,0.4766291747263993,0.3872460845153926,0.0797355163624183,0.3411909720132807,0.5167677701147864,0.13097938194764,0.3547659046849958,0.5135896680497162,0.3099042723040596,0.584104280319078,0.2418938481927421,0.0455721781998252,0.0064489022028731,0.0009826031053981
athina,Athina,EL,1,False,3522263.700136085,0.1037474790289607,0.1089852779466943,0.6073097681790199,0.5004632184628085,3.2101212900203344,0.2740299454604595,0.3604254454997279,-0.1068465497162114,0.2732185896204788,0.3769949201339339,0.1099433061911174,0.2803636108299412,0.6826696627668396,0.2986754276236524,0.1104079012994832,0.056947584119522,0.0311300357616969,0.0063354998911177,2.947719096021804e-05
napoli,Napoli,IT,1,False,3457649.4768137746,0.3262208240791806,0.1228453439400946,0.3048021155939954,0.3855643545401305,2.447856036267692,0.145367875059224,0.3459997677595533,0.0807622389461351,0.2669638064898509,0.3648234472171031,0.105109225638972,0.2668431694119274,0.3986141159942771,0.2316559585117462,0.6248820123512397,0.3454555009537685,0.0128647289261913,0.0007676088324243,0.0007391067715631
warszawa,Warszawa,PL,1,False,3334987.4361339696,0.2252665532852789,0.2977801717648681,0.588211969816128,0.5872235063483678,3.7340528372616433,0.4894026686847464,0.3885064024859851,-0.0009884634677601,0.3451045050333434,0.5259626275778037,0.1434101067752672,0.4025414773235685,0.681821586501559,0.3523691672143911,0.2452256928080186,0.1891774608670121,0.1224735906791361,0.0378660751344659,0.0163769698477373
hamburg,Hamburg,DE,2,False,3162606.7627754877,0.2604410530389404,0.0907865951745688,0.543621565412429,0.4642382731581391,3.0988313002097576,0.4028450844874279,0.3780621900274053,-0.0793832922542899,0.3214056977754417,0.4718845506536744,0.1376844505240439,0.3813836131813517,0.6568193149864131,0.2748896265224383,0.24160700838954,0.194568867482942,0.0025397281422408,0.0009688251068331,0.0009514342334272
bucuresti,București,RO,1,False,3140501.6764080245,0.3346892180848317,0.4763141023882999,0.5236628261760937,0.7741464934123725,19.78353512696932,0.7284936587580897,0.420855296036666,0.2504836672362788,0.4243093615298717,0.7400899181140271,0.1889160752762273,0.6077088206141172,0.6168183457562537,0.529394582402114,0.4169810570800346,0.3363677292601064,0.1986838652140943,0.1169264303344375,0.0848242072271594
lisboa,Lisboa,PT,1,False,3132903.6339994804,0.2396268490373048,0.1760721067568441,0.3669364718459291,0.4086975228988823,2.4588556444234366,0.4803322013434653,0.387043069786499,0.0417610510529531,0.3193265961258961,0.4676774191446327,0.1195353624566217,0.3142366307553277,0.4595205299952637,0.2470287427400497,0.5605030739550138,0.1505665774162273,0.0511032058149171,0.0021108959948737,0.0004870408148634
budapest,Budapest,HU,1,False,3030949.1592591573,0.183103284545591,0.1557462897941387,0.537857467899992,0.5064001666998887,4.020694274870365,0.4856014781997629,0.3866161963183587,-0.0314573012001032,0.3277452800321315,0.4869570207199272,0.1382781083352531,0.3831520774080019,0.6385182807183237,0.3057759478514546,0.1971452912818658,0.1430039958761744,0.0427578927724466,0.0040163693702351,0.0018745133664528
amsterdam,Amsterdam,NL,1,False,2829893.042702652,0.2265131293711427,0.1117423821158008,0.5006339334690872,0.3257656293766141,2.03836056543523,0.1976975734814763,0.3533125847612609,-0.1748683040924731,0.2876466399276576,0.4022289639668817,0.0915525687913884,0.2248073601767261,0.6216165818102704,0.1988443335573644,0.2284122673435476,0.1520979503990399,0.0005254466110206,0.00038370391324,0.000382392242438
stockholm,Stockholm,SE,1,False,2549794.642453092,0.2696564237766677,0.2569181334224483,0.4573611210576678,0.5130971387284127,3.158875581898574,0.652304894325412,0.4079938050862244,0.0557360176707448,0.3892956397595961,0.6378917027398388,0.1401387998192036,0.3897358931400159,0.5534612734833022,0.2872509627175028,0.4892084658690278,0.2625363410288521,0.089624642095293,0.0188885874367302,0.0125991701653831
koeln,Köln,DE,2,False,2438338.019152492,0.204718152111973,0.0853877716209097,0.5185792297885011,0.3993223504634858,2.388481851101264,0.3640275315691484,0.3725922216841476,-0.1192568793250152,0.3126207924836376,0.4542180056193031,0.1213193575258825,0.3196374808649249,0.6178209982706343,0.2353003460102719,0.1813153498285525,0.1318312756618666,0.0025651000851039,0.0015400653653382,0.0011473624649907
praha,Praha,CZ,1,False,2247160.4672485986,0.2820045471481495,0.1650728311344043,0.5147787788276983,0.474612156490666,3.921507718096913,0.4626159356361518,0.384929809673822,-0.0401666223370322,0.3551245520179874,0.5476883080917102,0.1361253007948695,0.3733125773464241,0.6271285158236931,0.2947928971396277,0.3612531996431363,0.2513414665036657,0.0495709704577077,0.000692052876473,0.0003847281632672
kobenhavn,København,DK,1,False,2180998.0039757723,0.2536240617583692,0.1395700177619387,0.4014660980776223,0.4014157941696968,2.530404226396607,0.3010481067118663,0.3655304793278592,-5.0303907925486335e-05,0.3069080883344872,0.4418754372503041,0.1202980634871023,0.3156011038432034,0.54346009529651,0.2498992857514957,0.4170839089983557,0.188369060672932,0.0125944896309464,0.0004532295992757,0.0003714320872814
