city,name,country,tier,synthetic,population,mean_everyday,mean_emergency,gini_everyday,gini_emergency,p90_p50_ratio_emergency,spearman_rho,compounding_intensity,divergence_gap,compounding_pop_share_50,jaccard_high_50,compounding_pop_share_75,jaccard_high_75,gini_t_everyday,gini_t_emergency,pop_share_beyond_everyday_15,pop_share_beyond_everyday_30,pop_share_beyond_emergency_30,pop_share_beyond_emergency_45,pop_share_beyond_emergency_60,log10_population,slope_density_everyday,slope_density_emergency,slope_ses_everyday,slope_ses_emergency,slope_ses_column
paris,Paris,FR,1,False,12886280.33104566,0.1351100722187121,0.1082862826681601,0.6245250695176686,0.4978027413577374,3.4572458785647595,0.4975062387331809,0.3885509655404441,-0.1267223281599312,0.3322441547677989,0.4970141666401544,0.1493057870026169,0.4276492662604165,0.7031964647584851,0.3034763845724647,0.1684184551803828,0.1057072346093585,0.0188368591132207,0.0021761681434573,0.0006932152752807,7.1101275748531005,-1.2542185702519684,-0.9231113656348824,,,
barcelona,Barcelona,ES,1,False,5945709.4630487785,0.1750182828740368,0.1251787886142152,0.5438652577381323,0.4179048880293165,3.017042973528759,0.3709061951726433,0.3730626663492532,-0.1259603697088158,0.3104373106633002,0.4516086499304824,0.1260867854747279,0.3375896235481582,0.6396636317981633,0.2476447419026789,0.3289721242505893,0.1128083586401136,0.0107763485932264,0.0009766597443804,0.0007598764892311,6.774203683597895,-1.2554029208019777,-0.8609232545375508,-0.0423170337455415,-0.0698274440947418,ses_census_employment_share
milano,Milano,IT,1,False,5030023.868854286,0.1830543912085701,0.0899050793858811,0.3991676881886109,0.3958791310287513,2.751335298419334,0.3701427175706774,0.3743838363660466,-0.0032885571598595,0.319309599748416,0.4667872868712671,0.1273317183299214,0.3424144600710364,0.5270538270988028,0.2467889345805926,0.3277774088009698,0.0920481738903684,0.0022977646918955,5.508624473704106e-05,3.438761369413926e-05,6.701570045908236,-0.9663810411289828,-1.130586517521536,-0.2019275849919314,-0.4611253806930515,ses_census_employment_share
athina,Athina,EL,1,False,3522263.700136085,0.103535496915112,0.1089852779466943,0.6082042124285109,0.5004632184628085,3.2101212900203344,0.2705237899510566,0.360069676686878,-0.1077409939657023,0.2726038086713178,0.3758315847058551,0.1101857547500581,0.2811466914755762,0.68327647270386,0.2986754276236524,0.1104135964681077,0.0569755022078672,0.0311300357616969,0.0063354998911177,2.947719096021804e-05,6.546821867027872,-1.7238917090238155,-1.458559353756945,-0.5052091396319407,-0.3911234110437882,ses_census_employment_share
bruxelles,Bruxelles,BE,1,False,3521497.075765567,0.182488286078315,0.1916028178147488,0.5827932518152094,0.2864827782079076,1.890241316452915,0.3984639983076948,0.3781812982674188,-0.2963104736073017,0.3322169138306735,0.4980190585349037,0.114179952461848,0.2965079779199526,0.6617709694475433,0.1734914693332905,0.2698846035486849,0.1760281463308125,0.0076923213291489,0.0003598256726396,0.0003110275746742,6.546727332092426,-0.931713326725497,-0.4042803585912871,0.330824660617139,0.1949456711277262,ses_census_employment_share
napoli,Napoli,IT,1,False,3457649.4768137746,0.3259284023661928,0.1228453439400946,0.3049196110374195,0.3855643545401302,2.447856036267692,0.1466766827955849,0.346108425151019,0.0806447435027107,0.2673808820984895,0.3655935771308882,0.1053623499377206,0.267662218671184,0.3987605491100651,0.2316559585117465,0.6248528621257223,0.3449926217295737,0.0128647289261913,0.0007676088324243,0.0007391067715631,6.538780964067587,-0.9870240176541144,-0.5768352747020297,-0.2690816613116403,0.1463943861598386,ses_census_employment_share
warszawa,Warszawa,PL,1,False,3334987.4361339696,0.2252665532852789,0.2977801717648681,0.588211969816128,0.5872235063483678,3.7340528372616433,0.4894026686847464,0.3885064024859851,-0.0009884634677601,0.3451045050333434,0.5259626275778037,0.1434101067752672,0.4025414773235685,0.681821586501559,0.3523691672143911,0.2452256928080186,0.1891774608670121,0.1224735906791361,0.0378660751344659,0.0163769698477373,6.523094202142233,-1.1710334216291818,-0.6461887336432532,-0.3137949715007259,-0.3886206283732444,ses_census_employment_share
hamburg,Hamburg,DE,2,False,3162606.762775488,0.2596990668805854,0.0862654054202898,0.5434731744533358,0.4366915248011818,3.0988313002097576,0.4020229711277204,0.3779800450690473,-0.1067816496521539,0.3211397275379094,0.4716222003033542,0.1373463124102438,0.3802969293806846,0.6566483845148232,0.2684696981902788,0.2410340660254271,0.1935721694072069,0.001730707875586,0.0001557538370157,0.0001383488098777,6.500045195275303,-1.0140052278184808,-0.8593961160442602,,,
bucuresti,București,RO,1,False,3140501.6764080245,0.3345878732215603,0.4763190406366689,0.5238683255124709,0.7741338912785406,19.78353512696932,0.7272125180898368,0.4207311695419111,0.2502655657660697,0.4241778002556422,0.7396755951795576,0.1889142509371218,0.6076979895459111,0.6169477020354256,0.5293684732613599,0.4169673335039423,0.3358894868289758,0.1986838652140943,0.1169264303344375,0.0848242072271594,6.496999029567686,-1.226396931568859,-0.7310542658962881,-0.8529469963782189,-0.7582017714479206,ses_census_employment_share
lisboa,Lisboa,PT,1,False,3132903.6339994804,0.2396435799915643,0.176070895445129,0.3669801140665918,0.4086967263514733,2.4588556444234366,0.4801384443859838,0.3870309010061771,0.0417166122848814,0.3194424875239419,0.4679366951464832,0.1194486258448127,0.3139457011022648,0.459644511941871,0.2470267232482772,0.5603428029622439,0.1505385788081383,0.0511032058149171,0.0021108959948737,0.0004870408148634,6.4959470364821135,-1.2305129596292377,-1.04905807471695,-0.1271154862006628,0.0632907013724785,ses_census_employment_share
munchen,München,DE,1,False,3054507.430338121,0.1773530905330052,0.0890741040226256,0.6156624124124535,0.4491581381159913,2.798068843372898,0.3496257034692255,0.3711763298103606,-0.1665042742964621,0.3040515859925754,0.4370711616861272,0.1247172143546965,0.3323365926748586,0.7017558638173618,0.2638658747950327,0.1594011817045236,0.1346323073915716,0.0037886699946379,0.0010963414554633,0.0007677137409438,6.484941185926015,-1.269495421975923,-0.53934783472387,,,
budapest,Budapest,HU,1,False,3030949.1592591573,0.1833705327802741,0.1558274559703309,0.53776193737058,0.5065220928587683,4.020694274870365,0.4842803905273188,0.3864473205111549,-0.0312398445118117,0.3275507012266684,0.4864731165109175,0.1382464477796045,0.3829465170905904,0.638643762155155,0.3058419856718512,0.19716792826322,0.1430593111058324,0.0428268922308191,0.0040855048879733,0.0018745133664528,6.4815786516304446,-1.14018040619316,-0.9492097779608876,-0.3687475370497424,-0.4381363823668008,ses_census_employment_share
amsterdam,Amsterdam,NL,1,False,2829893.042702652,0.2267277861796409,0.1117545137038992,0.5005097697183849,0.3257559377379978,2.03836056543523,0.1964206388985074,0.353181650998859,-0.174753831980387,0.2876786765979712,0.4021284499005879,0.091157485694584,0.2236199799905663,0.6214898643478074,0.1988350966687009,0.2285037157680105,0.1521689373042537,0.0005254466110206,0.00038370391324,0.000382392242438,6.451770021445899,-0.9717464351222672,-0.3926190406655264,0.3172081320858093,0.2403317886345989,ses_census_employment_share
